X_Sb70V	Y_Sb70V	ErrorX_Sb70V	ErrorY_Sb70V	X_Sb70Vmodel	Y_Sb70VCompton	Y_Sb70VEC	Y_Sb70VBkgmodel	X_Y70V	Y_Y70V	ErrorX_Y70V	ErrorY_Y70V	X_Y70VModel	Y_Y70VCompton	Y_Y70VEC	Y_Y70VBkgmodel	X_Y25V	Y_Y25V	ErrorX_Y25V	ErrorY_Y25V	X_Y25VModel	Y_Y25VCompton	Y_Y25VEC	Y_Y25VBkgmodel
33.1364	336.892	0.152868	33.195	6.4247	266.147	2.44966E-14	245.892	279.103	522.261	1.37479	13.7819	8.07709	406.638	4.19364E-39	377.775	155.494	961.769	0.762657	25.1105	5.61697	759.048	0	758.455
33.4422	317.267	0.152868	32.2136	6.46332	266.147	8.89411E-15	246.264	281.853	492.438	1.37479	13.3827	8.11641	406.638	7.66034E-40	377.873	157.019	949.313	0.762657	24.9474	5.64351	759.048	0	759.027
33.7479	294.372	0.152868	31.0295	6.50193	266.147	3.18007E-15	246.627	284.602	507.35	1.37479	13.5838	8.15574	406.638	1.3772E-40	377.976	158.545	999.138	0.762657	25.5937	5.67006	759.048	0	759.6
34.0536	248.581	0.152868	28.5142	6.54055	266.147	1.11972E-15	246.981	287.352	528.08	1.37479	13.8585	8.19506	406.638	2.43686E-41	378.082	160.07	992.582	0.762657	25.5096	5.6966	759.048	0	760.172
34.3594	294.372	0.152868	31.0295	6.57917	266.147	3.88258E-16	247.324	290.101	513.169	1.37479	13.6614	8.23438	406.638	4.24593E-42	378.193	161.595	978.815	0.762657	25.3321	5.72314	759.048	0	760.745
34.6651	268.205	0.152868	29.6183	6.61779	266.147	1.32577E-16	247.656	292.851	509.168	1.37479	13.6081	8.2737	406.638	7.28675E-43	378.309	163.121	978.815	0.762657	25.3321	5.74968	759.048	0	761.317
34.9709	333.621	0.152868	33.0334	6.65641	266.147	4.45817E-17	247.976	295.601	496.075	1.37479	13.432	8.31303	406.638	1.26117E-43	378.429	164.646	941.445	0.762657	24.8438	5.77623	759.048	0	761.889
35.2766	300.913	0.152868	31.3724	6.69502	266.147	1.47632E-17	248.283	298.35	519.715	1.37479	13.7483	8.35235	406.638	1.4013E-44	378.553	166.171	968.981	0.762657	25.2045	5.80277	759.048	0	762.459
35.5823	225.685	0.152868	27.1693	6.73364	266.147	4.81443E-18	248.576	301.1	513.896	1.37479	13.6711	8.39167	406.638	0	378.682	167.697	945.379	0.762657	24.8956	5.82931	759.048	0	763.029
35.8881	366.329	0.152868	34.6149	6.77226	266.147	1.54613E-18	248.855	303.849	501.531	1.37479	13.5056	8.431	406.638	0	378.815	169.222	984.06	0.762657	25.3998	5.85586	759.048	0	763.598
36.1938	281.289	0.152868	30.3321	6.81088	266.147	4.88974E-19	249.121	306.599	542.264	1.37479	14.0434	8.47032	406.638	0	378.953	170.747	962.425	0.762657	25.1191	5.8824	759.048	0	764.166
36.4995	336.892	0.152868	33.195	6.8495	266.147	1.52287E-19	249.374	309.349	534.263	1.37479	13.9394	8.50964	406.638	0	379.095	172.273	978.815	0.762657	25.3321	5.90894	759.048	0	764.733
36.8053	255.122	0.152868	28.8869	6.88812	266.147	4.67068E-20	249.615	312.098	541.9	1.37479	14.0387	8.54896	406.638	0	379.242	173.798	971.603	0.762657	25.2386	5.93549	759.048	0	765.299
